Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"Application_546206358|Application_1879432062|Application_16686366|Application_833171339|Application_163121479|Application_1020735316|Application_409025300|Application_1858993401|Application_357563354|Application_564276126|Application_1731238463|Application_1823681895|Application_1984985896|Application_1090386869|Application_108378127|Application_2139135868|Application_1691337772|Application_855346075|Application_1158871047|Application_510980371|Application_2030605346|Application_1955752574|Application_758513444|Application_1502439614|Application_890975854|Application_727070879|Application_1449837143|Application_414438383|Application_1697318009|Application_1166791291|Application_1380421237|Application_451692880|Application_2111433968|Application_1033039379|Application_1198497217|Application_1066042180|Application_59014720|Application_456764763|Application_1582160031|Application_399634253|Application_1842610353|Application_448030736|Application_1747105194|Application_1101206136|Application_1259972880|Application_1943497450|Application_824725999|Application_108990047|Application_1232536865|Application_176979331|Application_1652695429|Application_1106146918|Application_2024261695|Application_907576698|Application_2076511986|Application_652956366|Application_1381887838|Application_1043782904|Application_1220006118|Application_888438560|Application_759241232|Application_254929735|Application_622417263|Application_1163291654|Application_2032179032|Application_397038537|Application_175918237|Application_483931042|Application_368167256",69,Yes,"5.00","29.00","660.00","0.96","0.86","0.86","29.00","793.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
2,"Application_519973903|Application_268576214|Application_1835125945|Application_2026515638|Application_1764056617|Application_2031072542|Application_2136837930|Application_696734932|Application_1814325221|Application_1568684630|Application_2031865665|Application_588494517|Application_949814648|Application_955563438|Application_80709811|Application_564537369|Application_1852483606|Application_735953270|Application_747784121|Application_724935267|Application_2074051157|Application_1428030101|Application_1922414959|Application_948688787|Application_647705656|Application_994658271|Application_211976892|Application_2105077158|Application_834087694|Application_794561004|Application_251017299|Application_439542460|Application_192544350|Application_1263727247|Application_1727619066|Application_1277462178|Application_1579079181|Application_827957979|Application_319585293|Application_905303516|Application_318986510|Application_1327638315|Application_1620695939|Application_941150522|Application_1973796032|Application_1772274434|Application_327753891|Application_1092805390|Application_1467101602|Application_533206267|Application_136665186|Application_1178554291|Application_1111057678|Application_663320149|Application_845413592|Application_1839163450|Application_95477936",57,Yes,"5.00","23.00","569.00","0.96","0.84","0.85","26.00","691.00",[L/M]start|[L/M]A-Create-Application|[M-INVI]Inv1|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]W-Complete-application-start|[L/M]A-Concept|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
3,"Application_402271064|Application_1583195260|Application_407038019|Application_1416093231|Application_1085318545|Application_30821353|Application_1690716209|Application_1292199013|Application_157986780|Application_1981687019|Application_531666181|Application_1702772063|Application_1612622692|Application_620897639|Application_1231579880|Application_1575426961|Application_2127589264|Application_975830076|Application_19373519|Application_753441891|Application_1829297282|Application_459477804|Application_1526018389|Application_779868535|Application_1306084558|Application_1124781985|Application_363059077|Application_2038208736|Application_2104061117|Application_1084427553|Application_597788673|Application_1039362794|Application_1396303697|Application_940497849|Application_1510106241|Application_1245298665|Application_144959075|Application_2024680741|Application_2081468177|Application_1145050189|Application_2081673241|Application_233064512",42,Yes,"4.00","21.00","601.00","1.00","0.89","0.87","30.00","741.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]W-Complete-application-suspend|[L/M]A-Accepted|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-ate-abort|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
4,"Application_1096968149|Application_1016541821|Application_2110114560|Application_22706563|Application_16529477|Application_1895218789|Application_1198484|Application_1018089402|Application_782935304|Application_1145386484|Application_938221508|Application_1565316268|Application_1853502124|Application_1438612386|Application_548234389|Application_517547402|Application_1080753572|Application_43905728|Application_549932310|Application_859266888|Application_959743614|Application_1392404643|Application_66072191|Application_2026682298|Application_1032369855|Application_394412011|Application_1015777884|Application_1237813582|Application_1391573006|Application_369785843|Application_2002877311|Application_871511729|Application_67728732|Application_1004317586|Application_1388526517",35,Yes,"7.00","32.00","814.00","0.96","0.80","0.79","29.00","931.00",[L/M]start|[L/M]A-Create-Application|[M-INVI]Inv1|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]W-Complete-application-start|[L/M]A-Concept|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[L/M]W-Validate-application-resume|[M-INVI]Inv22|[L]W-Validate-application-suspend|[L]W-Validate-application-resume|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-complete|[M-INVI]Inv29|[L/M]end
5,"Application_1723028098|Application_384006007|Application_383365555|Application_278804236|Application_702265255|Application_955791274|Application_919407038|Application_1645650193|Application_1062743672|Application_1268243744|Application_1632392078|Application_49271927|Application_545473242|Application_576035670|Application_70575133|Application_61248843|Application_2092883533|Application_1208437635|Application_1133580191|Application_1811700269|Application_751576|Application_1253984780|Application_2045109794|Application_619601205|Application_864662158|Application_278234732|Application_1050390195|Application_1458887736|Application_1663146425|Application_438269807|Application_302885057|Application_2009469048|Application_339910304|Application_966129944",34,Yes,"6.00","35.00","893.00","1.00","0.85","0.82","33.00","1,021.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]W-Complete-application-suspend|[L/M]A-Accepted|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-ate-abort|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[L/M]W-Validate-application-resume|[M-INVI]Inv22|[L]W-Validate-application-suspend|[L]W-Validate-application-resume|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-complete|[M-INVI]Inv29|[L/M]end
6,"Application_834711528|Application_91858316|Application_1667437865|Application_645293411|Application_514398902|Application_1907764759|Application_1301772276|Application_777125023|Application_1981051213|Application_61094189|Application_1470167814|Application_1966254763|Application_582576974|Application_305611931|Application_722435010|Application_787636378|Application_2087853077|Application_389694047|Application_1331590835|Application_1825797170|Application_1548060693|Application_616544005|Application_58295777|Application_396092392|Application_1995644843|Application_1140019355|Application_203590810|Application_1152706558|Application_1801822059|Application_1444191625|Application_462882090",31,Yes,"7.00","41.00","755.00","0.88","0.79","0.85","27.00","872.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[M-REAL]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[M-REAL]W-Complete-application-ate-abort|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
7,"Application_712156236|Application_1700699492|Application_1080060964|Application_778294287|Application_322207784|Application_2034562996|Application_1288416901|Application_175102263|Application_1968921696|Application_1721987107|Application_1976651383|Application_1925359371|Application_2008202503|Application_986254709|Application_675572085|Application_594885183|Application_683690191|Application_1252484296|Application_1477021386|Application_1584544254|Application_923503733|Application_1149655953|Application_1119407054|Application_969699413|Application_569478541|Application_524989072|Application_305964583|Application_1370470331|Application_1079589",29,Yes,"7.00","37.00","925.00","0.96","0.82","0.81","32.00","1,047.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[L/M]W-Validate-application-resume|[M-INVI]Inv22|[L]W-Validate-application-suspend|[L]W-Validate-application-resume|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-complete|[M-INVI]Inv29|[L/M]end
8,"Application_1649230612|Application_2053390692|Application_1450268698|Application_1733355006|Application_1262887348|Application_1118744495|Application_253435738|Application_1073406344|Application_1800209786|Application_721340692|Application_1104589935|Application_2101114607|Application_16950765|Application_1467116720|Application_841781311|Application_23650198|Application_633119231|Application_238546830|Application_1022084723|Application_1795986679",20,Yes,"4.00","16.00","615.00","1.00","0.89","0.87","31.00","757.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]W-Complete-application-suspend|[L/M]W-Complete-application-resume|[L/M]A-Accepted|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
9,"Application_336026971|Application_1102053584|Application_2092383408|Application_2101854749|Application_172749595|Application_282011643|Application_1193161185|Application_1098955308|Application_961057644|Application_536519866|Application_98684084|Application_1487527238|Application_987876406|Application_599426245|Application_317339492|Application_1706313428|Application_740320002|Application_545474396|Application_1679927360",19,Yes,"5.00","24.00","573.00","0.96","0.85","0.85","27.00","695.00",[L/M]start|[L/M]A-Create-Application|[M-INVI]Inv1|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]W-Complete-application-start|[L/M]A-Concept|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]A-Accepted|[M-REAL]W-Complete-application-suspend|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-complete|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[L/M]W-Validate-application-resume|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-complete|[M-INVI]Inv29|[L/M]end
10,"Application_81204346|Application_850467381|Application_755257322|Application_1519719618|Application_521868863|Application_953075714|Application_642840882|Application_756221319|Application_537804429|Application_6748555|Application_1583568442|Application_692846616|Application_1908585951|Application_1579510520|Application_1702391411|Application_971906635|Application_80850284|Application_1434518975",18,Yes,"4.00","15.00","633.00","1.00","0.89","0.88","32.00","782.00",[L/M]start|[L/M]A-Create-Application|[L/M]A-Submitted|[L/M]W-Handle-leads-schedule|[L/M]W-Handle-leads-withdraw|[M-INVI]Inv4|[L/M]W-Complete-application-schedule|[L/M]A-Concept|[L/M]W-Complete-application-start|[M-INVI]Inv5|[M-INVI]Inv6|[M-INVI]Inv8|[L/M]W-Complete-application-suspend|[L/M]W-Complete-application-resume|[M-INVI]Inv11|[L/M]W-Complete-application-suspend|[L/M]A-Accepted|[M-INVI]Inv10|[M-INVI]Inv12|[M-INVI]Inv9|[M-INVI]Inv13|[L/M]O-Create-Offer|[M-INVI]Inv14|[L/M]O-Created|[L/M]O-Sent-mail-and-online|[M-INVI]Inv15|[L/M]W-Complete-application-ate-abort|[L/M]W-Call-after-offers-schedule|[L/M]W-Call-after-offers-start|[L/M]A-Complete|[M-INVI]Inv16|[L/M]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-resume|[L]W-Call-after-offers-suspend|[L/M]W-Call-after-offers-ate-abort|[M-INVI]Inv17|[M-INVI]Inv18|[L/M]W-Validate-application-schedule|[L/M]W-Validate-application-start|[L/M]A-Validating|[M-INVI]Inv21|[L]O-Returned|[L/M]W-Validate-application-suspend|[M-INVI]Inv23|[M-INVI]Inv22|[L]A-Denied|[L]O-Refused|[L/M]W-Validate-application-ate-abort|[M-INVI]Inv29|[L/M]end
