Result of replaying ffa3e937-3787-434c-bf4a-424aa7b172c4 [Reduced] [Reduced] on Log (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"173814|174186|174240|174243|174258|174331|174400|174611|174713|174941|175012|175111|175186|175359|175531|175564|175768|175928|175979|176263|176440|176506|176563|176602|176620|176993|177035|177098|177143|177402|178010|178332|178362|178413|178494|179631|179805|179923|180100|180163|180256|180448|180508|180730|181178|181205|181270|181312|181939|182059|182470|182620|183465|183525|183646|183661|183787|183919|183931|184237|184400|184481|184529|184685|184763|184772|184802|185021|185207|185318|185858|186199|186298|186418|186463|186787|186860|186884|187070|187130|187253|187274|187346|187358|187361|187870|188032|188657|188911|188923|189031|189817|190069|190201|190204|190375|190429|190582|190995|191446|191527|191818|191977|192428|192458|193668|193671|194025|194230|194611|194922|195163|195356|195512|195557|195863|195968|196090|196302|196332|196642|196726|196879",123,Yes,"1.00","0.00","81.00","1.00","0.91","0.86","7.00","157.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]A-DECLINED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]end
2,"173781|174048|174608|174997|176018|176359|176551|176605|176969|177588|177737|177947|178016|178107|178155|178350|178383|178891|179038|179369|179622|179882|179905|180205|180850|180902|181028|181031|181043|181700|181736|181990|182266|183199|183883|184339|184553|184730|185144|185282|185894|186367|186917|186920|187768|187861|188107|188660|188693|188974|189196|189868|189946|190066|190444|190531|190716|190881|191139|191145|191350|191638|191641|191803|191908|191950|192226|192262|192265|192313|192389|192398|192446|192500|193005|193071|193140|193351|193354|193446|193488|193804|194368|194487|195109|195524|195818|195827|195839|196320|196347|196572|196672|196825",94,Yes,"1.00","0.00","59.00","1.00","0.90","0.83","6.00","114.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]A-DECLINED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]end
3,"174496|175371|175537|175576|175666|175717|176431|177203|177245|178059|178167|178650|179041|179068|179107|179170|179495|179531|179576|180652|180968|181718|181924|181996|182434|182768|182861|183115|183348|183561|184418|184457|184688|185494|185792|186121|186148|186232|186274|186391|186953|187654|187735|187840|188077|188622|189406|189637|189799|190081|190099|190195|190345|190441|191401|191713|192142|192395|192846|192858|192879|193002|193113|193137|193650|193867|194686|194901|194937|194952|195133|195518|195731|195956|196117|196681",76,Yes,"2.00","1.00","64.00","1.00","0.80","0.67","6.00","113.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L]W-Completerenaanvraag|[L/M]end
4,"173925|174297|174303|174902|175075|175189|175473|176066|176102|177287|178864|179182|179381|179453|180172|180932|180956|182053|182314|182611|182900|183079|183640|183892|184261|184454|184694|184844|184871|185509|185635|186664|187469|187514|188155|188182|188185|188705|189607|189814|190474|191740|191779|191798|192280|192779|193192|193626|193888|193909|193927|193939|194523|195000|195211|195530|196162|196210|196551",59,Yes,"2.00","1.00","144.00","1.00","0.83","0.75","8.00","226.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]A-DECLINED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]end
5,"173775|174821|174982|175771|175819|175952|176194|176230|176651|176699|177492|177761|177956|179459|180427|180562|181184|181595|181769|182248|182308|183028|183715|184048|184219|185153|185503|185834|186050|186053|186607|186670|187364|187445|187666|188699|189253|189274|189505|190039|190228|190609|190926|191839|192220|192259|192407|192425|193198|193635|194550|194916|194994|196183",54,Yes,"2.00","1.00","110.00","1.00","0.82","0.71","7.00","172.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]A-DECLINED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]end
6,"173703|174475|174893|175389|175946|176299|177044|177179|177356|177681|178320|178963|179080|179314|179486|179640|179724|181085|181583|181757|183435|183631|184033|184430|184868|185018|185339|185479|186085|186881|189115|189655|189901|190002|191001|191311|191458|191896|192148|192683|192843|192849|193050|193162|193210|193411|193659|193695|194892|194964",50,Yes,"2.00","1.00","112.00","0.86","0.82","0.86","7.00","174.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
7,"173706|174024|174484|174860|175898|177281|177450|177549|177878|178019|178614|179329|179938|180031|180301|180394|180412|180649|183447|183537|183625|183865|184084|184183|184366|184754|186415|186442|186496|186592|187792|189067|189100|189271|190351|190465|190686|192103|192794|192822|192861|193686|193834|196027|196792",45,Yes,"2.00","2.00","158.00","0.89","0.85","0.89","9.00","255.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
8,"174105|174953|176063|176137|177029|178257|178263|178290|178638|178659|178885|179095|179254|179769|179841|180064|180220|181142|182140|182741|182780|182960|183088|183438|183736|184760|185461|185740|188368|188977|188998|189043|189169|189781|189820|190171|190396|192900|193738|194499|194653|194919|195994|196422",44,Yes,"3.00","2.00","185.00","0.90","0.80","0.82","11.00","270.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-APPROVED|[L]W-Validerenaanvraag|[L/M]end
9,"174415|174929|175114|175624|176152|176747|176783|177089|177845|177902|178894|179218|179351|179859|181222|181556|182263|182906|183345|183733|186115|187678|187942|188533|189106|189160|189244|189649|189772|191482|192383|192692|193482|193873|194568|195326|195920|195988",38,Yes,"3.00","1.00","214.00","0.91","0.81","0.83","12.00","313.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-APPROVED|[L]W-Validerenaanvraag|[L/M]end
10,"175278|176735|176771|177332|177480|178080|178260|179438|179540|180418|180640|181160|181330|182566|183682|184790|187669|188708|189217|190120|190477|191040|191335|191383|191758|192945|193524|193653|194034|194665|196042|196168|196201|196380|196678|196702",36,Yes,"2.00","2.00","146.00","0.92","0.88","0.92","12.00","237.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
11,"173841|174950|175299|176170|178182|178566|178933|179221|180802|180805|181847|182218|182924|183133|183384|183697|183754|184324|184967|186277|186280|186718|187400|187906|188467|188983|189742|191332|192178|192518|192620|193017|193159|194599",34,Yes,"2.00","7.00","120.00","0.88","0.83","0.88","8.00","189.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
12,"173964|174195|175711|175871|176945|177938|179011|180634|180935|181106|181390|181975|182383|183082|183311|183441|184138|187454|188572|188666|189778|189886|189973|190183|190483|190597|190953|190959|191305|192825|196479|196563|196855|196858",34,Yes,"2.00","1.00","107.00","1.00","0.82","0.71","7.00","177.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L]W-Completerenaanvraag|[L/M]end
13,"173688|173760|174087|174535|174605|175302|175383|176690|176717|177014|177191|177197|177657|177740|179643|180346|180367|180403|180463|181523|183703|185024|186169|188968|189016|191284|191848|193222|193744|194136|194641|194749|196291",33,Yes,"3.00","4.00","238.00","0.92","0.82","0.85","13.00","350.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-APPROVED|[L]W-Validerenaanvraag|[L/M]end
14,"174932|178999|179414|179561|179888|181526|181739|184009|184796|184898|185641|186017|186784|186820|187073|187238|187496|188557|188732|189304|190839|190989|191079|191133|191184|191629|191932|192575|193372|194683|195030",31,Yes,"2.00","1.00","167.00","0.90","0.86","0.90","10.00","275.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
