ID pattern;Threshold;Graphs;Rule graphs;Fitting graphs;
PO_1;0.5;4144;37;37;
PO_2;0.5;4144;41;41;
PO_3;0.5;4144;43;43;
PO_4;0.5;4144;44;44;
PO_5;0.5;4144;45;45;
PO_6;0.5;4144;54;54;
PO_7;0.5;4144;59;59;
PO_8;0.5;4144;61;61;
PO_9;0.5;4144;39;39;
PO_10;0.5;4144;39;39;
PO_11;0.5;4144;39;39;
PO_12;0.5;4144;45;45;
PO_13;0.5;4144;45;45;
PO_14;0.5;4144;62;62;
PO_15;0.5;4144;70;70;
PO_16;0.5;4144;76;76;
PO_17;0.5;4144;76;76;
PO_18;0.5;4144;76;76;
PO_19;0.5;4144;76;76;
PO_20;0.5;4144;77;77;
PO_21;0.5;4144;77;77;
PO_22;0.5;4144;81;81;
PO_23;0.5;4144;58;58;
PO_24;0.5;4144;85;85;
PO_25;0.5;4144;94;94;
PO_26;0.5;4144;43;43;
PO_27;0.5;4144;94;94;
PO_28;0.5;4144;123;123;
PO_29;0.5;4144;127;127;
PO_30;0.5;4144;40;25;
PO_31;0.5;4144;49;49;
PO_32;0.5;4144;49;49;
PO_33;0.5;4144;49;49;
PO_34;0.5;4144;63;63;
PO_35;0.5;4144;63;63;
PO_36;0.5;4144;130;130;
PO_37;0.5;4144;36;36;
PO_38;0.5;4144;48;48;
PO_39;0.5;4144;48;48;
PO_40;0.5;4144;48;48;
PO_41;0.5;4144;62;62;
PO_42;0.5;4144;39;39;
PO_43;0.5;4144;153;153;
PO_44;0.5;4144;63;63;
PO_45;0.5;4144;163;163;
PO_46;0.5;4144;39;39;
PO_47;0.5;4144;39;39;
PO_48;0.5;4144;39;39;
PO_49;0.5;4144;39;39;
PO_50;0.5;4144;39;39;
PO_51;0.5;4144;39;39;
PO_52;0.5;4144;39;39;
PO_53;0.5;4144;39;39;
PO_54;0.5;4144;39;39;
PO_55;0.5;4144;39;39;
PO_56;0.5;4144;69;69;
PO_57;0.5;4144;218;218;
PO_58;0.5;4144;257;257;
PO_59;0.5;4144;257;257;
PO_60;0.5;4144;36;36;
PO_61;0.5;4144;36;36;
PO_62;0.5;4144;44;44;
PO_63;0.5;4144;44;44;
PO_64;0.5;4144;44;44;
PO_65;0.5;4144;44;44;
PO_66;0.5;4144;44;44;
PO_67;0.5;4144;44;44;
PO_68;0.5;4144;44;44;
PO_69;0.5;4144;44;44;
PO_70;0.5;4144;44;44;
PO_71;0.5;4144;257;257;
PO_72;0.5;4144;44;44;
PO_73;0.5;4144;102;102;
PO_74;0.5;4144;60;60;
PO_75;0.5;4144;60;60;
PO_76;0.5;4144;60;60;
PO_77;0.5;4144;60;60;
