Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"trace_13|trace_311|trace_412|trace_617|trace_652|trace_978|trace_1073|trace_1147|trace_1271|trace_1306|trace_1344|trace_1466|trace_1597|trace_1618|trace_1854",15,Yes,"4.00","1.00","26.00","0.85","0.85","0.85","13.00","61.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
2,"trace_104|trace_839|trace_843|trace_1159|trace_1177|trace_1338|trace_1347|trace_1399|trace_1416|trace_1719|trace_1721|trace_1763|trace_1862|trace_1991",14,Yes,"1.00","0.00","16.00","1.00","0.96","0.93","14.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
3,"trace_419|trace_470|trace_556|trace_729|trace_771|trace_772|trace_818|trace_841|trace_1254|trace_1724|trace_1891|trace_1912|trace_1965",13,Yes,"2.00","0.00","45.00","0.92","0.92","0.92","13.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
4,"trace_446|trace_497|trace_637|trace_686|trace_908|trace_1116|trace_1222|trace_1225|trace_1331|trace_1354|trace_1507|trace_1896|trace_1901",13,Yes,"2.00","0.00","45.00","0.92","0.92","0.92","13.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
5,"trace_94|trace_198|trace_291|trace_498|trace_555|trace_585|trace_688|trace_710|trace_716|trace_794|trace_1303|trace_1844",12,Yes,"4.00","1.00","26.00","0.85","0.85","0.85","13.00","61.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
6,"trace_126|trace_153|trace_317|trace_581|trace_679|trace_830|trace_1269|trace_1488|trace_1514|trace_1671|trace_1859|trace_1957",12,Yes,"2.00","1.00","45.00","0.92","0.92","0.92","13.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
7,"trace_88|trace_139|trace_254|trace_439|trace_528|trace_1144|trace_1273|trace_1369|trace_1421|trace_1588|trace_1639",11,Yes,"1.00","0.00","16.00","1.00","0.96","0.93","14.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
8,"trace_30|trace_68|trace_230|trace_347|trace_370|trace_475|trace_777|trace_1538|trace_1733|trace_1972",10,Yes,"2.00","1.00","45.00","0.92","0.92","0.92","13.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
9,"trace_346|trace_355|trace_408|trace_458|trace_519|trace_654|trace_800|trace_935|trace_1570|trace_1606",10,Yes,"1.00","0.00","16.00","1.00","0.96","0.93","14.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
10,"trace_10|trace_142|trace_248|trace_260|trace_1004|trace_1150|trace_1215|trace_1608|trace_1963",9,Yes,"5.00","1.00","28.00","0.85","0.81","0.79","14.00","63.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
