Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
1,"trace_3|trace_969|trace_1198|trace_1236|trace_1523",5,Yes,"1.00","3.52","45.00","0.92","0.96","0.11","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
2,"trace_497|trace_519|trace_1452|trace_1570",4,Yes,"5.00","10.80","72.00","0.77","0.80","0.11","0.83","12.00","1.00","15.00","3.00","77.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]REPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
3,"trace_1|trace_1046|trace_1113|trace_1609",4,Yes,"1.00","6.61","45.00","0.92","0.96","0.20","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
4,"trace_194|trace_248|trace_1462|trace_1502",4,Yes,"1.00","3.61","45.00","0.92","0.96","0.05","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
5,"trace_86|trace_1357|trace_1576",3,Yes,"5.00","10.59","64.00","0.77","0.80","0.06","0.83","12.00","1.00","15.00","3.00","65.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
6,"trace_278|trace_581|trace_1282",3,Yes,"5.00","15.74","72.00","0.77","0.80","0.06","0.83","12.00","1.00","15.00","3.00","77.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]RBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
7,"trace_232|trace_948|trace_1102",3,Yes,"3.00","5.89","89.00","0.85","0.88","0.04","0.92","12.00","1.00","11.00","2.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
8,"trace_335|trace_653|trace_871",3,Yes,"2.00","3.94","48.00","0.92","0.92","0.05","0.92","13.00","1.00","6.00","1.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]LRIRV|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
9,"trace_487|trace_631|trace_1203",3,Yes,"3.00","5.96","86.00","0.85","0.88","0.03","0.92","12.00","1.00","11.00","2.00","86.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
10,"trace_531|trace_952|trace_1185",3,Yes,"2.00","5.56","48.00","0.92","0.92","0.05","0.92","13.00","1.00","6.00","1.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]LRIRV|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
11,"trace_61|trace_1242|trace_1414",3,Yes,"1.00","9.71","45.00","0.92","0.96","0.07","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
