,Sub,petriNet_arcs,petriNet_trans,petriNet_places,NLNI_arcs,NLNI_trans,NLNI_places,YLNI_arcs,YLNI_trans,YLNI_places,,,arcs,trans,places,,,,,
0,Sub_29,63,26,27,165,75,29,165,75,29,,,58,24,26,,,,,
1,Sub_31,62,26,27,459,211,49,463,212,53,,,,,,,,,,
2,Sub_39,64,25,26,636,280,63,637,282,63,,,,,,,,,,
3,Sub_52,72,29,32,110,48,27,110,48,27,,,,,,,,,,
4,Sub_57,64,26,27,417,184,57,118,49,26,,,,,,,,,,
5,Sub_62,62,25,26,139,63,31,137,62,30,,,,,,,,,,
6,Sub_71,60,25,26,359,160,43,358,160,43,,,,,,,,,,
7,Sub_73,72,29,32,226,105,44,224,104,43,,,,,,,,,,
8,Sub_75,92,38,37,173,74,33,184,79,31,,,,,,,,,,
9,Sub_77,64,25,26,177,80,32,98,40,26,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,var_arcs,var_trans,var_places,var_arcs_n,var_trans_n,var_places_n,var_arcs_y,var_trans_y,var_places_y,,perc_arcs,perc_trans,per_places,perc_arcs_n,perc_trans_n,per_places_n,perc_arcs_y,perc_trans_y,per_places_y
,Sub_29,5,2,1,107,51,3,107,51,3,,0.086206897,0.083333333,0.038461538,1.844827586,2.125,0.115384615,1.844827586,2.125,0.115384615
,Sub_31,4,2,1,401,187,23,405,188,27,,0.068965517,0.083333333,0.038461538,6.913793103,7.791666667,0.884615385,6.982758621,7.833333333,1.038461538
,Sub_39,6,1,0,578,256,37,579,258,37,,0.103448276,0.041666667,0,9.965517241,10.66666667,1.423076923,9.982758621,10.75,1.423076923
,Sub_52,14,5,6,52,24,1,52,24,1,,0.24137931,0.208333333,0.230769231,0.896551724,1,0.038461538,0.896551724,1,0.038461538
,Sub_57,6,2,1,359,160,31,60,25,0,,0.103448276,0.083333333,0.038461538,6.189655172,6.666666667,1.192307692,1.034482759,1.041666667,0
,Sub_62,4,1,0,81,39,5,79,38,4,,0.068965517,0.041666667,0,1.396551724,1.625,0.192307692,1.362068966,1.583333333,0.153846154
,Sub_71,2,1,0,301,136,17,300,136,17,,0.034482759,0.041666667,0,5.189655172,5.666666667,0.653846154,5.172413793,5.666666667,0.653846154
,Sub_73,14,5,6,168,81,18,166,80,17,,0.24137931,0.208333333,0.230769231,2.896551724,3.375,0.692307692,2.862068966,3.333333333,0.653846154
,Sub_75,34,14,11,115,50,7,126,55,5,,0.586206897,0.583333333,0.423076923,1.982758621,2.083333333,0.269230769,2.172413793,2.291666667,0.192307692
,Sub_77,6,1,0,119,56,6,40,16,0,,0.103448276,0.041666667,0,2.051724138,2.333333333,0.230769231,0.689655172,0.666666667,0
,,9.5,3.4,2.6,228.1,104,14.8,191.4,87.1,11.1,,,,,,,,,,
,,,,,,,,,,,,0.163793103,0.141666667,0.1,3.932758621,4.333333333,0.569230769,3.3,3.629166667,0.426923077
