ID pattern;Threshold;Graphs;Rule graphs;Fitting graphs;
PO_1;0.5;1994;1317;1317;
PO_2;0.5;1994;1310;1310;
PO_3;0.5;1994;1305;1305;
PO_4;0.5;1994;1242;1241;
PO_5;0.5;1994;1243;1241;
PO_6;0.5;1994;1241;1241;
PO_7;0.5;1994;1241;1241;
PO_8;0.5;1994;688;688;
PO_9;0.5;1994;668;668;
PO_10;0.5;1994;662;662;
PO_11;0.5;1994;607;605;
PO_12;0.5;1994;604;600;
PO_13;0.5;1994;598;597;
PO_14;0.5;1994;589;586;
PO_15;0.5;1994;544;544;
PO_16;0.5;1994;498;498;
PO_17;0.5;1994;484;254;
PO_18;0.5;1994;485;265;
PO_19;0.5;1994;472;236;
PO_20;0.5;1994;472;209;
PO_21;0.5;1994;473;211;
PO_22;0.5;1994;471;210;
PO_23;0.5;1994;471;209;
PO_24;0.5;1994;466;421;
PO_25;0.5;1994;454;414;
PO_26;0.5;1994;448;406;
PO_27;0.5;1994;419;386;
PO_28;0.5;1994;419;385;
PO_29;0.5;1994;413;380;
PO_30;0.5;1994;408;374;
PO_31;0.5;1994;357;357;
PO_32;0.5;1994;333;333;
PO_33;0.5;1994;314;314;
PO_34;0.5;1994;312;312;
PO_35;0.5;1994;307;307;
PO_36;0.5;1994;305;305;
PO_37;0.5;1994;305;305;
PO_38;0.5;1994;304;304;
PO_39;0.5;1994;287;287;
PO_40;0.5;1994;285;283;
PO_41;0.5;1994;285;285;
PO_42;0.5;1994;284;284;
PO_43;0.5;1994;277;277;
PO_44;0.5;1994;269;20;
PO_45;0.5;1994;265;16;
PO_46;0.5;1994;266;22;
PO_47;0.5;1994;265;19;
PO_48;0.5;1994;265;265;
PO_49;0.5;1994;261;19;
PO_50;0.5;1994;262;262;
PO_51;0.5;1994;260;21;
PO_52;0.5;1994;257;144;
PO_53;0.5;1994;258;160;
PO_54;0.5;1994;257;257;
PO_55;0.5;1994;254;141;
PO_56;0.5;1994;251;140;
PO_57;0.5;1994;252;154;
PO_58;0.5;1994;252;14;
PO_59;0.5;1994;249;22;
PO_60;0.5;1994;250;14;
PO_61;0.5;1994;250;14;
PO_62;0.5;1994;250;9;
PO_63;0.5;1994;248;16;
PO_64;0.5;1994;245;21;
PO_65;0.5;1994;246;16;
PO_66;0.5;1994;245;70;
PO_67;0.5;1994;246;16;
PO_68;0.5;1994;245;69;
PO_69;0.5;1994;246;69;
PO_70;0.5;1994;246;10;
PO_71;0.5;1994;245;69;
PO_72;0.5;1994;243;18;
PO_73;0.5;1994;243;156;
PO_74;0.5;1994;243;243;
PO_75;0.5;1994;244;244;
PO_76;0.5;1994;231;16;
PO_77;0.5;1994;229;16;
PO_78;0.5;1994;229;16;
PO_79;0.5;1994;229;10;
PO_80;0.5;1994;228;17;
PO_81;0.5;1994;228;149;
PO_82;0.5;1994;225;225;
PO_83;0.5;1994;225;225;
PO_84;0.5;1994;225;225;
PO_85;0.5;1994;225;225;
PO_86;0.5;1994;225;225;
PO_87;0.5;1994;225;225;
PO_88;0.5;1994;225;225;
PO_89;0.5;1994;226;18;
PO_90;0.5;1994;226;147;
PO_91;0.5;1994;225;148;
PO_92;0.5;1994;225;225;
PO_93;0.5;1994;225;225;
PO_94;0.5;1994;225;225;
PO_95;0.5;1994;225;225;
PO_96;0.5;1994;225;225;
PO_97;0.5;1994;225;225;
PO_98;0.5;1994;225;225;
PO_99;0.5;1994;225;225;
PO_100;0.5;1994;225;225;
PO_101;0.5;1994;225;225;
PO_102;0.5;1994;225;225;
PO_103;0.5;1994;225;225;
PO_104;0.5;1994;225;225;
PO_105;0.5;1994;225;225;
PO_106;0.5;1994;225;225;
PO_107;0.5;1994;225;225;
PO_108;0.5;1994;223;14;
PO_109;0.5;1994;223;19;
PO_110;0.5;1994;223;16;
PO_111;0.5;1994;221;14;
PO_112;0.5;1994;222;17;
PO_113;0.5;1994;222;6;
PO_114;0.5;1994;219;17;
